Comment,Description,Designator,Footprint,Quantity,Supplier Part Number 1,Manufacturer 1,Manufacturer Part Number 1

"10uF","CAP CER 10UF 50V X7S 1210","C1, C2, C8, C9, C10, C11, C12","CAP 1210/3225 - 2.8MM","7","445-4537-2-ND","TDK Corporation","C3225X7S1H106M250AB"
"22uF","CAP ALUM 22UF 20% 35V SMD","C3","CAP ALUM 6.6MM","1","493-9805-2-ND","Nichicon","UWJ1V220MCL1GB"
"22uF","CAP TANT 22UF 20V 20% 2917","C4","CAP POL 2917/7343","1","718-1063-2-ND","Vishay Sprague","293D226X0020D2TE3"
"0.10uF","CAP CER 0.1UF 50V X7R 1206","C13","CAP 1206/3216 - 1.0MM","1","490-1775-2-ND","Murata Electronics North America","GRM319R71H104KA01D"
"1uF","CAP CER 1UF 16V X7R 0603","C14, C15","CAP 0603/1608","2","490-3900-2-ND","Murata Electronics North America","GRM188R71C105KA12D"
"47uF","CAP CER 47UF 10V X5R 1206","C16, C17, C18, C19, C20, C21, C22, C23","CAP 1206/3216","8","490-5528-2-ND","Murata Electronics North America","GRM31CR61A476ME15L"
"100uF","CAP ALUM 100UF 20% 50V SMD","C24","CAP ALUM 10.3MM","1","493-6269-2-ND","Nichicon","UUX1H101MNL1GS"
"22uF","CAP CER 22UF 25V X5R 1206","C25, C26, C27, C28, C29, C30","CAP 1206/3216","6","490-5527-2-ND","Murata Electronics North America","GRM31CR61E226KE15L"
"Red","LED RED DIFFUSED 0805 SMD","D1, D2, D3, D4","LED 0805/2012 RED","4","475-1415-2-ND","OSRAM Opto Semiconductors Inc.","LH R974-LP-1"
"BSS138NH6327XTSA2","MOSFET N-CH 60V 230MA SOT-23","IC1, IC2","INFINEON SOT-23-3","2","BSS138NH6327XTSA2CT-ND","Infineon Technologies","BSS138NH6327XTSA2"
"0461144241","","J1, J2, J3, J4","LPH_VERT.RECEPT._ASSY_4PX24S","4","WM9739-ND","Molex, LLC","0461144241"
"DF13-4P-1.25DSA","","J5, J6, J7, J8, J11, J12","HDRV4W35P125_1X4_665X340X430P","6","H2193-ND","Hirose Electric Co Ltd","DF13-4P-1.25DSA"
"B2B-XH-A(LF)(SN)","CONN HEADER XH TOP 2POS 2.5MM","J9","JST XH B2B-XH-A","1","455-2247-ND","JST Sales America Inc.","B2B-XH-A(LF)(SN)"
"B2P-VH-FB-B(LF)(SN)","","J10","B2P-VH-FB-B","1","455-2947-ND","JST Sales America Inc.","B2P-VH-FB-B(LF)(SN)"
"VLCF4028T-330MR61-2","FIXED IND 33UH 610MA 350 MOHM","L1","TDK VLCF4028-2","1","445-6549-2-ND","TDK Corporation","VLCF4028T-330MR61-2"
"FPV1006-150-R","FIXED IND 150NH 25A 0.41 MOHM","L2","FPV1006-150-R","1","283-4578-2-ND","Eaton","FPV1006-150-R"
"Header 3X2","Header, 3-Pin, Dual row","P1","HDR2X3","1","","",""
"Header 12X2","Header, 12-Pin, Dual row","P2","HDR2X12","1","","",""
"100k","RES SMD 100K OHM 1% 1/8W 0805","R1, R2","RES 0805/2012","2","P100KCTR-ND","Panasonic Electronic Components","ERJ-6ENF1003V"
"10k","RES SMD 10K OHM 1% 1/8W 0805","R3, R4, R5, R6","RES 0805/2012","4","P10.0KCTR-ND","Panasonic Electronic Components","ERJ-6ENF1002V"
"1.5k","RES SMD 1.5K OHM 0.1% 1/8W 0805","R7","RES 0805/2012","1","P1.5KDATR-ND","Panasonic Electronic Components","ERA-6AEB152V"
"2k","RES SMD 2K OHM 0.1% 1/8W 0805","R8","RES 0805/2012","1","P2.0KDATR-ND","Panasonic Electronic Components","ERA-6AEB202V"
"680","RES SMD 680 OHM 1% 1/8W 0805","R9","RES 0805/2012","1","P680CTR-ND","Panasonic Electronic Components","ERJ-6ENF6800V"
"330","RES SMD 330 OHM 5% 1/2W 0805","R10","RES 0805/2012","1","P330ADTR-ND","Panasonic Electronic Components","ERJ-P06J331V"
"0.0","RES SMD 0.0 OHM JUMPER 1/2W 0805","R11","RES 0805/2012","1","36-5106TR-ND","Keystone Electronics","5106"
"500k","TRIMMER 500K OHM 0.15W SMD","R12","POT Panasonic EVM","1","P3Y504TR-ND","Panasonic Electronic Components","EVM-3YSX50B55"
"Ultimate Sensor Fusion Solution","","U1","Ultimate Sensor Fusion Solution","1","","",""
"LM2940IMP-9.0/NOPB","","U2","SOT230P700X180-4N","1","LM2940IMP-9.0/NOPBCT-ND","Texas Instruments","LM2940IMP-9.0/NOPB"
"#NAME?","","U3","R-78Exx-1.0","1","945-2409-5-ND","Recom Power","R-78E3.3-1.0"
"#NAME?","","U4","PI34xx-00","1","1102-1641-ND","Vicor Corporation","PI3424-00-LGIZ"
